Cód.Ponto,Sist.Hidrico,Localização,Data Início,Data Fim,Município
LENS02500,Rio Lençóis,"Na Rua Quinze de Novembro, 1111, na captação do município de Lençóis Paulistas.",2001-01-01,,LENÇOIS PAULISTA
LENS03950,Rio Lençóis,"PONTE NA ROD. MACATUBA/ IGARAÇU DO TIETE, A 400 METROS DA SUA FOZ",2008-11-01,,IGARACU DO TIETE
LJAR02990,Lago 1 do Parque do Jaragua,NA SAÍDA DO LAGO 1 DO PICO DO JARAGUÁ,2008-11-01,,SÃO PAULO
MACK04900,Córrego da Av. Alexandre Mackenzie,"No trevo da Av. Alexandre Mackenzie com a Marginal Pinheiros, em frente ao posto de gasolina.",2020-01-01,,SÃO PAULO
MADE21700,Mar de Dentro,PIER DA BALSA QUE LIGA O CONTINENTE A CANANÉIA,2008-01-01,,CANANEIA
MARE02900,Rio Maresias,"Ponte na Rodovia SP-55, Km 153, sobre o rio Maresias",2004-01-01,,SÃO SEBASTIAO
MARI04250,Ribeirão do Marinheiro,"Ponte na vicinal Isidoro Parise, na divisa de municípios de Pedranopolis e Parisi.",2013-01-01,,PEDRANOPOLIS
MARO22800,Rio Santo Amaro,"Ponte na Av. Santos Dumont, depois do Posto de Saúde Municipal.",2013-01-01,,GUARUJA
MATA04900,Córrego Matadouro - UGRHI 15,"Ponte na rua Síria, no Jardim Glória, proximo da sua foz no Córrego Olhos Dágua.",2016-01-01,,OLIMPIA
MEIO02900,Ribeirão do Meio,"Ponte F. Baldim, sobre o Ribeirão do Meio, ao lado da Fazenda, junto a régua do DAEE 4D-030.",2002-01-01,,LEME
MOCA02990,Reservatório Cachoeira de Cima,A montante da barragem da AES - Usina Elétrica de Mogi Guaçú,2002-01-01,,MOGI-GUAÇU
MOCO02900,Rio Mocooca,"Ponte na Rod. Manoel Hyppolito Rego, altura da praia da Mocooca.",2013-05-15,,CARAGUATATUBA
MOGU02100,Rio Mogi-Guaçu,"Ponte na rodovia de terra que liga Pinhal a Jacutinga, em Minas Gerais.",2000-10-06,,ESPÍRITO SANTO DO PINHAL
MOGU02160,Rio Mogi-Guaçu,"Ponte na Rodovia SP-340, a jusante da cidade de Mogi-Guaçú.",2002-01-01,,MOGI-GUAÇU
MOGU02170,Rio Mogi-Guaçu,"Dentro da International Paper, a montante da confluência com o Rio Mogi-Mirim.",2002-01-01,2003-12-31,MOGI-GUAÇU
MOGU02175,Rio Mogi-Guaçu,"Dentro da International Paper, a jusante da confluencia do Rio Mogi-Mirim. P4.",2002-01-01,2003-12-31,MOGI-GUAÇU
MOGU02180,Rio Mogi-Guaçu,"Dentro da International Paper, depois da última plataforma, 200 metros a jusante do lançamento do efluente líquido.",2002-01-01,2013-12-31,MOGI-GUAÇU
MOGU02200,Rio Mogi-Guaçu,"Ponte na rodovia que liga Leme a Conchal, em Pádua Sales.",1976-01-01,,MOGI-GUAÇU
MOGU02210,Rio Mogi-Guaçu,À jusante da confluência com o córrego Ferraz ou do Pinhal.,2001-01-01,,MOGI-GUAÇU
MOGU02220,Rio Mogi-Guaçu,À jusante da confluência com o córrego Arari ou Araras.No município de Mogi-Guaçu.,2002-01-01,2010-06-03,MOGI-GUAÇU
MOGU02240,Rio Mogi-Guaçu,"A jusante da Usina Cresciumal, em frente a placa do IBAMA que protege a mata ciliar.",2002-01-01,2008-12-31,LEME
MOGU02250,Rio Mogi-Guaçu,"Rio Mogi Guaçú, a montante do Ribeirão do Meio - Bairro Taquari Ponte. Junto a régua do DAEE 4D-029.",2002-01-01,,LEME
MOGU02260,Rio Mogi-Guaçu,A jusante da confluência do ribeirão do Meio.,2002-01-01,2016-12-31,PIRASSUNUNGA
MOGU02270,Rio Mogi-Guaçu,À jusante da confluência do Ribeirão do Meio e do Rib. Itupeva.,2002-01-01,,PIRASSUNUNGA
MOGU02300,Rio Mogi-Guaçu,"Junto à captação da ETA da Academia da Força Aérea, em Pirassununga.",1981-10-01,,PIRASSUNUNGA
MOGU02340,Rio Mogi-Guaçu,"Na Cachoeira de Emas, antes da barragem.",1979-03-01,2008-12-31,PIRASSUNUNGA
MOGU02350,Rio Mogi-Guaçu,"Na Cachoeira das Emas, depois da barragem em frente ao Restaurante César.",2001-01-01,,PIRASSUNUNGA
MOGU02410,Rio Mogi-Guaçu,"A montante do Rib. dos Patos, antes do Parque Estadual de Porto Ferreira.",2002-01-01,2003-12-31,PORTO FERREIRA
MOGU02450,Rio Mogi-Guaçu,"À jusante da cidade de Porto Ferreira -Ponte na Rod. Anhanguera, no Km 228.",2001-01-01,,PORTO FERREIRA
MOGU02490,Rio Mogi-Guaçu,"Na Usina Santa Rita, na divisa de Santa Rita de Passa Quatro com Descalvado.",2001-01-01,,SANTA RITA DO PASSA QUATRO
MOGU02500,Rio Mogi-Guaçu,"Balsa da estrada que liga Santa Eudóxia a Luis Antonio, em Porto Pulador.",1979-03-01,2000-12-31,SÃO CARLOS
MOGU02800,Rio Mogi-Guaçu,"PONTE NA SP 333, NA ENTRADA DE BARRINHA",2010-01-01,,BARRINHA
MOGU02900,Rio Mogi-Guaçu,"No Rancho Sto Antônio, próximo à rodovia que liga Sertãozinho a Pitangueiras, próximo a regua do DAEE 5C - 025.",1977-01-01,,PITANGUEIRAS
MOIN02600,Ribeirão do Moinho,Ponte na SP- 563 junto à régua do DAEE 8C-009.,2013-01-01,,ANDRADINA
MOIS02300,Córrego do Morais,NA ENTRADA DA ESTAÇÃO ECOLÓGICA DA UNESP,2008-11-01,,SÃO JOSÉ DO RIO PRETO
MOIS02600,Córrego do Morais,"NA REPRESA DO MORAIS, DENTRO DO INST. PENAL AGRÍCOLA, NO VERTEDOURO DA MARGEM DIREITA",2008-11-01,,SÃO JOSÉ DO RIO PRETO
MOJI02800,Rio Moji,"Ponte na Rodovia Piaçaguera-Guarujá, que liga Cubatão a Guarujá.",1977-01-01,,CUBATAO
MOJI02840,Rio Moji,PRÓXIMO A USIMINAS,2010-07-01,,CUBATAO
MOMI02400,Rio Mogi Mirim,"Rio Mogi Mirim na Ponte da SP 147 Km 56,8 no Bairro do Mirante.",2003-01-01,2010-06-03,MOGI-MIRIM
MOMI03800,Rio Mogi Mirim,"Rio Mogi Mirim na Ponte da SP 340, no Km 166,5.",2002-01-01,,MOGI-MIRIM
MONJ04400,Rio Monjolinho,PONTE A JUSANTE DA ETE MONJILINHO,2011-01-01,,SÃO CARLOS
MOVE03400,Ribeirão Moinho Velho,"Ponte na Estrada Velha de Cotia, altura do núm. 151",,,COTIA
MOVE03500,Ribeirão Moinho Velho,"Ponte do Km 26 da Raposo Tavares, antes da Industria Firmenich.",2002-01-31,,COTIA
NAEM02850,Rio Itanhaém,"No Pier da sede do DAEE de Itanhaém , junto ao posto DAEE 3F-006.",2001-01-01,,ITANHAEM
NAEM02900,Rio Itanhaém,"Rua Demerval Pereira Leite, na altura do nº 214, na margem oposta ao Iate Clube.",2001-01-01,,ITANHAEM
NINO04900,Ribeirão dos Meninos,"Ponte da Av. do Estado, na divisa dos municípios de São Paulo e São Caetano do Sul.",2001-12-02,,SÃO PAULO
NITO00600,Rio Bonito,Ponte na Rua Jaburuna. (G01-Programa Mananciais).,2020-01-01,,SÃO PAULO
NOSG02500,Braço do Rio Novo- UGRHI 17,"Ponte no Braço do Rio Novo na estrada Salto Grande/Cambará, na saída da cidade.",2020-01-01,,SALTO GRANDE
NOVO02450,Rio Novo-Af. Pardo UGRHI 17,"PONTE NA SP 255 (ROD. JOÃO MELLÃO), KM 243",2010-01-01,,AVARÉ
NSRA02900,Rio Nossa Senhora da Ajuda,"Junto a vila principal, ponte sobre o rio a 2 quarteirões da antiga cadeia",2004-01-01,,ILHABELA
NUMA04900,Ribeirão das Anhumas,"Próximo à foz no Rio Atibaia. Ponte antes da entrada da Rhodia, saindo de Paulínia.",2002-01-01,,PAULINIA
NUMA04990,Ribeirão das Anhumas,"RIBEIRÃO ANHUMAS, PONTE DO RESTAURANTE RHODIA",2008-01-01,,PAULINIA
OLAR04800,Córrego Olaria,"Ponte ao lado da 1ª CIA da PM, na Rua Miguel Yunes, Jurubatuba.",2020-01-01,,SÃO PAULO
OLHO02690,Córrego dos Olhos d Água,"Ponte na Rua Durval Brite, a montante do Córrego do Matadouro",2015-07-01,,OLIMPIA
ONCA02500,Ribeirão da Onça (UGRHI15),Ponte na rodovia que liga Palmares Paulista a Paraíso.,1980-01-01,,PALMARES PAULISTA
OQUE02900,Ribeirão do Roque,"Ponte na vicinal Ricieri Scatolini, na foz do Rib. do Roque, junto a régua do DAEE 4D-032. Na Vicinal Ricieri Scatolini.",2002-01-01,,PIRASSUNUNGA
ORIZ02600,Rio Oriçanga,"Ponte na SP 340 no Km 179,5.",2005-01-01,2010-06-03,MOGI-GUAÇU
ORIZ02900,Rio Oriçanga,"Ponte sobre a Rod. Almino Afonso, em Martinho Prado, ao lado da Fazenda Mombaça.",2002-01-01,,MOGI-GUAÇU
PADO02400,Rio Pardo - UGRHI 17,"Ponte na entrada de Águas de Santa Bárbara ao lado da Nestlé, junto à régua do DAEE 6D-002.",2016-01-01,,ÁGUAS DE SANTA BARBARA
PADO02500,Rio Pardo - UGRHI 17,"Ponte na rodovia ao lado da captação da SABESP, em Santa Cruz do Rio Pardo.",2001-01-01,,SANTA CRUZ DO RIO PARDO
PADO02600,Rio Pardo - UGRHI 17,Captação de Ourinhos.,1981-01-01,,OURINHOS
PALM03800,Ribeirão das Palmeiras,"PONTE SOBRE A ESTRADA MUN. JABORANDI-TERRA ROXA, NAS PROXIMIDADES DA ANTIGA USINA HIDROELETRICA",2010-01-01,,JABORANDI
PALT04970,Ribeirão Ponte Alta,"Na Ponte da E.F.Sorocabana, no Bairro Curuça 1, perto da confluência com o rio Itapetininga.",2006-03-17,,ITAPETININGA
PARB02050,Rio Paraíba do Sul,"Na captação de Santa Branca (SAEE), no bairro Angola de Cima.",2004-01-01,,SANTA BRANCA
PARB02100,Rio Paraíba do Sul,"Ponte na rodovia SP-77, no trecho que liga Jacareí a Santa Branca.",1979-01-01,,SANTA BRANCA
PARB02200,Rio Paraíba do Sul,Junto à captação do município de Jacareí,1999-10-01,,JACAREI
PARB02300,Rio Paraíba do Sul,"Ponte de acesso ao loteamento Urbanova, em São José dos Campos.",1983-09-01,,SÃO JOSÉ DOS CAMPOS
PARB02310,Rio Paraíba do Sul,Na captação de São José dos Campos.,2001-01-01,,SÃO JOSÉ DOS CAMPOS
PARB02400,Rio Paraíba do Sul,"Ponte na rua do Porto, no trecho que liga Caçapava ao bairro Menino Jesus.",1979-01-01,,CACAPAVA
PARB02490,Rio Paraíba do Sul,"Na captação da SABESP em Tremembé, que abastece Taubaté.",1995-09-01,,TREMEMBÉ
PARB02530,Rio Paraíba do Sul,Na captação da SABESP de Pindamonhangaba,2004-01-01,,PINDAMONHANGABA
PARB02600,Rio Paraíba do Sul,Na captação de Aparecida,1974-10-01,,APARECIDA
PARB02700,Rio Paraíba do Sul,"Ponte na rodovia BR-459, no trecho que liga Lorena a Piquete.",1995-09-01,,LORENA
PARB02800,Rio Paraíba do Sul,"Ponte Hamilton Galhano, na SP-52, à montante de Cruzeiro.",2019-01-01,,CRUZEIRO
PARB02900,Rio Paraíba do Sul,Ponte na cidade de Queluz.,1974-10-01,,QUELUZ
PARC04900,Córrego do Pau Arcado/ Morumbi,"Ponte na Rua Itapaiúna, Vila Andrade, ao lado da reciclagem.",2020-01-01,,SÃO PAULO
PARD02010,Rio Pardo - UGRHIs 4 e 12,"Ponte na rodovia SP-350, no trecho que liga São José do Rio Pardo à Guaxupé.",2000-10-03,,SÃO JOSÉ DO RIO PARDO
PARD02100,Rio Pardo - UGRHIs 4 e 12,"Ponte na rodovia SP-340, trecho que liga Casa Branca a Mococa.",1996-01-09,,MOCOCA
PARD02400,Rio Pardo - UGRHIs 4 e 12,"Na Rod.SP 333, na ponte velha da divisa de Serra Azul com Santa Cruz da Esperança.",2016-01-01,,SANTA CRUZ DA ESPERANÇA
PARD02500,Rio Pardo - UGRHIs 4 e 12,"Margem esquerda, no Clube de Regatas de Ribeirão Preto, junto à régua do DAEE 4C-001.",1974-10-01,,RIBEIRAO PRETO
PARD02600,Rio Pardo - UGRHIs 4 e 12,"Margem direita, a 50 m da ponte da rodovia que liga Pontal a Cândia",1979-03-01,,PONTAL
PARD02700,Rio Pardo - UGRHIs 4 e 12,Ponte na rodovia que liga Viradouro a Morro Agudo.,1979-03-01,2008-12-31,VIRADOURO
PARD02750,Rio Pardo - UGRHIs 4 e 12,"PONTE NA SP 373, que liga Jaborandí a Morro Agudo, ALTURA DO KM 126",2009-04-01,,JABORANDI
PARD02800,Rio Pardo - UGRHIs 4 e 12,"Ponte na variante da rodovia SP-425, no trecho que liga Guaíra a Barretos.",1974-10-01,,GUAIRA
PARE00600,Rio Parelheiros,Ponte na Rua José Roschel Rodrigues -Ponto G08- Programa Mananciais).,2020-01-01,,SÃO PAULO
PARI02700,Rio do Pari,"Ponte na estrada de terra que liga Palmital ao distrito de Sussuí, junto a régua do DAEE 7D-006.",2015-01-01,,PALMITAL
PARN02100,Rio Paraná,"Sobre a barragem do Reservatório de Jupiá, ao lado da ETA.",1974-10-01,,CASTILHO
PARN02110,Rio Paraná,"Rio Paraná, à jusante da barragem de Jupiá.",2016-10-01,,CASTILHO
PARN02400,Rio Paraná,Rio Paraná - Próximo a ponte que liga Paulicéia a Brasilândia/MS,2016-10-01,,PAULICEIA
PARN02740,Rio Paraná,"Margem esquerda do Rio Paraná, à jusante do Rio Santo Anastacio, próximo da Pousada Cururu, em Presidente Epitácio.",2016-10-01,,PRESIDENTE EPITACIO
PARN02750,Rio Paraná,Ponte na rodovia que liga Presidente Epitácio (SP) a Bataguaçú (MS),1996-07-24,2000-12-31,PRESIDENTE EPITACIO
PARN02900,Rio Paraná,Na barragem do reservatório de Porto Primavera.,1996-07-24,,ROSANA
PARN02910,Rio Paraná,A jusante da Usina de Porto Primavera,2016-10-01,,ROSANA
PARP02100,Rio Paranapanema,Ponte na rodovia que liga Campina do Monte Alegre a Buri.,1978-09-01,,CAMPINA DO MONTE ALEGRE
PARP02500,Rio Paranapanema,"Ponte na rodovia BR-153, no município de Ourinhos.",1996-07-04,,OURINHOS
PARP02750,Rio Paranapanema,Ponte 800m à jusante da barragem de Capivara.,1974-10-01,,TACIBA
PARP02900,Rio Paranapanema,"A jusante da barragem da Usina de Rosana, na rodovia SP-613.",1996-07-24,,ROSANA
PATO02900,Ribeirão dos Patos,"Ponte na estrada de terra, a 3 km da BR 153, na altura da UHE de Promissão",2007-01-01,,PROMISSAO
PAÇU02600,Rio Pariquera-Açu,"Ponte dentro da Fazenda Ouro Verde, na estrada de terra que leva ao Parque Estadual Campina do Encantado.",2014-01-01,,PARIQUERA-ACU
PBAX04600,Córrego da Ponte Baixa,Ponte na Rua Guilherme Valente junto ao medidor de nível do SAISP (AT84 -PMSPMB-02).,2020-01-01,,SÃO PAULO
PCAB02100,Rio Piracicaba,"Na captação de água de Americana, na localidade de Carioba. Junto à régua do DAEE 4D-010.",1974-10-01,,AMERICANA
PCAB02135,Rio Piracicaba,"Na ponte de concreto da estrada Americana-Limeira, na divisa de Limeira e Sta. Bárbara d'Oeste.",1979-11-01,,LIMEIRA
PCAB02160,Rio Piracicaba,"Na margem direita, aproximadamente 800m a montante da foz do Ribeirão dos Coqueiros, em Iracemápolis.",1980-01-01,2000-12-31,IRACEMÁPOLIS
PCAB02192,Rio Piracicaba,"Ponte a 50m do Km 135,3 da estrada que liga Piracicaba a Limeira, próximo à Usina Monte Alegre.",1977-01-01,,PIRACICABA
PCAB02220,Rio Piracicaba,"Margem esquerda, 2,5 Km a jusante da foz do Rib. Piracica-Mirim, na captação de Piracicaba.",1995-12-17,,PIRACICABA
PCAB02300,Rio Piracicaba,Na ponte do Caixão.,2002-01-01,,PIRACICABA
PCAB02800,Rio Piracicaba,"Em frente à fonte sulfurosa, junto ao posto 4D-07 do DAEE, na localidade de Artemis.",1974-10-01,,PIRACICABA
PCBP02500,Braço do Rio Piracicaba,"Ponte na rodovia SP-191, no trecho que liga Santa Maria da Serra a São Manuel.",1995-11-07,,SANTA MARIA DA SERRA
PDIZ00700,Ribeirão das Perdizes,"Na captação da SABESP do Jardim Alpestre, em Campos do Jordão.",2019-01-01,,CAMPOS DO JORDAO
PDRA02450,Córrego das Pedras ou Mandi - UGRHI 12,"Ponte próxima ao Country Club Rio das Pedras, jusante do lançamento da ETE II de Barretos.",2016-01-01,,BARRETOS
PEBA00100,Reservatório Taiaçupeba,No início do braço do Taiaçupeba-Mirim.,2001-01-01,2009-06-01,SUZANO
PEBA00900,Reservatório Taiaçupeba,Na captação da SABESP,2001-01-01,,SUZANO
PEDA03900,Ribeirão das Pedras,A jusante da ponte da Rodovia Fernando Nobre.,2002-01-31,,COTIA
PEDR04800,Córrego Pedreiras,"Ponte na Av. Ns. Sra. do Sabará, próx. número 5600, ao lado do ponto de onibus.",2020-01-01,,SÃO PAULO
PEIX02100,Rio do Peixe-UGRHI 21,Ponte na rodovia que liga Marília a Assis.,1979-01-01,,MARILIA
PEIX02400,Rio do Peixe-UGRHI 21,Ponte na Rod. Brigadeiro Eduardo Gomes na divisa Bastos/Rancharia.,2014-01-01,,BASTOS
PEIX02600,Rio do Peixe-UGRHI 21,"Ponte na estrada que liga Caiabú a Mariápolis, 3km a montante da captação da SABESP de Presidente Prudente.",2011-01-01,,CAIABU
PEIX02800,Rio do Peixe-UGRHI 21,Ponte na rodovia que liga Tupi Paulista à Presidente Venceslau.,1979-01-17,,DRACENA
PEIX02950,Rio do Peixe-UGRHI 21,"Na Foz do Rio do Peixe, 800 m a jusante da Ponte de Arco, entre Panorama e Campinal.",2020-01-01,2020-12-31,CAIUA
PEMI02900,Rio Perequê-Mirim,"Praia Perequê Mirim, Rodovia Rio - Santos (SP55), ponte sobre o rio",2004-01-01,,UBATUBA
PEOV03900,Ribeirão Perová,"Na passarela da Rua Nossa Sra. de Lourdes, Bairro Jardim Japão.",2012-01-01,,ITAQUAQUECETUBA
PERE02900,Rio Perequê,No Rio Perequê. Junto a captação da Carbocloro.,2004-04-01,,CUBATAO
PETO02900,Rio Preto - UGRHI 07,Na ponte do caminho do Guaraú.,2001-01-01,,PERUIBE
PEVA02900,Rio da Itupeva,Ponte de madeira na Foz do Rio Itupeva em estrada de terra. (antigo P12 ).,2002-01-01,,PIRASSUNUNGA
PEXE02050,Rio do Peixe-UGRHI 9,"Ponte no bairro do Rio do Peixe, na estrada para Munhoz",2009-07-01,2010-06-30,SOCORRO
PEXE02100,Rio do Peixe-UGRHI 9,"Ponte na Rodovia SP-08, que liga Socorro a Lindóia, à jusante da captação da SABESP.",2005-07-01,,SOCORRO
PEXE02150,Rio do Peixe-UGRHI 9,"Ponte à jusante do Hotel Cachoeira, em Socorro.",2005-07-01,,SOCORRO
PEXE02950,Rio do Peixe-UGRHI 9,"Ponte na Foz do Rio do Peixe, na Estr. de Piraporinha x Estrada Luiz Cavinague.",2013-01-01,,ITAPIRA
PGUI02700,Ribeirão Pirapitingui,"Ao lado da captação Aguas de Itu, junto a barragem do condomínio Terras de São José.",2015-01-01,,ITU
PIAC02700,Rio Piaçaguera,"Ponte localizada na COSIPA, continuação da antiga Rua 3, Vila Parisi, 300m jusante Adubos Trevo.",1982-08-01,,CUBATAO
PIAL02900,Ribeirão do Pinhal,No canal do Rib.Pinhal na Captação Águas de Limeira.,2003-01-02,,LIMEIRA
PIMI02900,Ribeirão Piracicamirim,Na foz com o Rio Piracicaba.,2002-01-01,,PIRACICABA
PINH04100,Rio Pinheiros,"Na Usina Elevatória de Pedreira, no centro do canal",1977-01-01,,SÃO PAULO
PINH04105,Rio Pinheiros,"Na margem esquerda do Canal, perto da Usina Elevatória de Pedreira, depois da Est.Flot (2) Pinheiros/Pedreira, em frente a Est. do Kfw.",2003-03-03,,SÃO PAULO
PINH04110,Rio Pinheiros,"Margem esquerda do canal Pinheiros, entre a ponte de Interlagos e EF (2) Pinheiros/Pedreira.",2003-03-03,,SÃO PAULO
PINH04190,Rio Pinheiros,"Margem esquerda do canal Pinheiros, entre a Est.Flot.1- Pinheiros/Zavuvus) e a ponte de Interlagos .",2003-03-03,,SÃO PAULO
PINH04200,Rio Pinheiros,"Antes da Est.Flot.1- Pinheiros/Zavuvus) , em frente à estação de Jurubatuba.",2003-03-03,,SÃO PAULO
PINH04250,Rio Pinheiros,NA PONTE DO SOCORRO.,2009-01-01,,SÃO PAULO
PINH04500,Rio Pinheiros,EMBAIXO DA PONTE ARI TORRES (AV. BANDEIRANTES).,2009-01-01,,SÃO PAULO
PINH04900,Rio Pinheiros,"Próximo à sua foz no Rio Tietê, na Estrutura de Retiro.",1998-01-01,,SÃO PAULO
PINO02100,Ribeirão Pinheiros/UGRHI 05,"Ponte a montante da ETE de Vinhedo. O córrego esta correndo 'a esquerda, paralelamente a Rod.dos Andradas, no trecho urbano de Vinhedo.",2002-01-01,,VINHEDO
PINO03400,Ribeirão Pinheiros/UGRHI 05,"Ponte na Rua Agostinho Ramos, a jusante da ETE Vinhedo (SANESAVI).",2014-05-01,,VALINHOS
PINO03500,Ribeirão Pinheiros/UGRHI 05,"Ponte à montante da Rigesa, no centro de Valinhos.",2002-01-01,2002-12-31,VALINHOS
PINO03900,Ribeirão Pinheiros/UGRHI 05,"Ponte na Marginal paralela à Rod.Dom Pedro, alt. Km 122,5 (sentido Campinas) .Próximo à foz no Rio Atibaia.",2002-11-01,,VALINHOS
PIRE02800,Ribeirão Pires,"Na ponte na Rua Capitão José Galo com a Av. Brasil, próximo ao corpo de Bombeiros.(B27-Programa Mananciais).",2020-01-01,,RIBEIRAO PIRES
PIRE02900,Ribeirão Pires,"Ponte da Eletropaulo, na Av. Rotary, no bairro Estância Noblesse, quase às margens Reservatório do Rio Grande.",2003-01-01,,RIBEIRAO PIRES
PITA02450,Ribeirão das Pitangueiras,"Na Captação do SAAEB, Serviço Autônomo de Água e Esgoto de Barretos, no final da rua 18.",2016-01-01,,BARRETOS
PITA04800,Ribeirão das Pitangueiras,À jusante da Fazenda do Buracão.,2010-01-01,,BARRETOS
PIVI02850,Ribeirão Capivari - UGRHI 17,"Na ponte do distrito de Agissê, junto a régua do DAEE-7D-012.",2015-01-01,,RANCHARIA
PIVR02700,Rio da Capivara - UGRHI 17,"Na ponte da Rodovia Raposo Tavares, km 473, em Maracaí, próximo a régua DAEE 7D-013.",2015-01-01,,MARACAI
PIZI02900,Rio Pirapozinho,"Ponte na Rod. SP-613, próximo ao km 13.",2016-01-01,,MIRANTE DO PARANAPANEMA
PIÇA04850,Rio do Piçarrão,"Ponte na Av. John Boyd Dunlop, Jardim Florence. Cerca de 5 km à montante da ETE Capivari da SANASA.",2016-06-30,,CAMPINAS
PNHO04500,Ribeirão Pinheirinho - UGHRI 8,"Ponte na Av. 9 de Jullho, junto a régua do DAEE 4C-002, em Santo Antonio da Alegria.",2016-01-01,,SANTO ANTONIO DA ALEGRIA
POLA02500,Ribeirão da Ponte Lavrada,"Captação da SABESP - São Roque, no Distrito de Canguera",2005-10-26,2010-12-31,SAO ROQUE
POLI04900,Córrego Poli,"Ponte na Av. Nações Unidas, esquina com a Rua Moacir Padilha.",2020-01-01,,SÃO PAULO
PONT04950,Córrego do Pontilhão ou Barrinha,"Na sua foz, na ponte junto a linha do trem, em Cruzeiro.",2015-01-01,,CRUZEIRO
PORA02700,Rio Pirapora,NA PONTE PRÓXIMA A CAPTAÇÃO DE SALTO DE PIRAPORA,2010-01-01,,SALTO DE PIRAPORA
PORC03150,Ribeirão dos Porcos,"Na Vila Maringá, em frente a Rua Francisco Staut, P2 do Monitoramento CREUPI",2005-01-01,2010-06-03,ESPÍRITO SANTO DO PINHAL
PORC03900,Ribeirão dos Porcos,"Ponte na foz do Ribeirão dos Porcos com o Rio Mogi-Guaçu, no Bairro Veridiana.",2005-01-01,,ESPÍRITO SANTO DO PINHAL
PQTE02800,Rio Piquete,"Na ponte da divisa de Cachoeira Paulista com Cruzeiro, na rodovia Deputado Nesralla Rubes, altura do km 213.",2015-01-01,,CACHOEIRA PAULISTA
PRAT02400,Rio da Prata,"NA PONTE DA ENTRADA DO COND. RESIDENCIAL SANTO ANTONIO, A JUSANTE DA ETE.",2008-07-01,,SANTO ANTONIO DO PINHAL
PRET02800,Rio Preto - UGRHI 15,Ponte na rodovia que liga Américo de Campos a Palestina.,1974-10-01,,PALESTINA
PRET04300,Rio Preto - UGRHI 15,Ponte na estrada que liga a cidade de Ipigua à Rodovia BR -153.,2000-10-17,,IPIGUÁ
PTEI02900,Rio Paratei,"Ponte na estrada de acesso ao Res. Jaguari, próximo à cervejaria Brahma, em Jacareí.",2000-03-01,,JACAREI
PTIN00850,Rio Paraitinga,"Na régua da CESP do Rio Paraitinga, 2 km a montante do centro da cidade S. L. Paraitinga.",2012-01-01,,SAO LUIS DO PARAITINGA
PUBA02950,Rio Paúba,Dentro da propriedade Tranesco,2004-01-01,2008-12-31,SÃO SEBASTIAO
PUNA00800,Rio Paraibuna,"Ponte no bairro das Palmeiras, a montante da régua da CESP.",2012-01-01,,NATIVIDADE DA SERRA
PZUL02950,Córrego Pedra Azul,"No Parque da Aclimação, na canaleta de concreto, antes do sistema de flotação da SABESP.",,,SÃO PAULO
PZUL02990,Córrego Pedra Azul,"No Parque da Aclimação, depois da EFRF da SABESP.",2021-04-01,,SÃO PAULO
QLOM02950,Rio Quilombo,Av. Princesa Isabel ponte sobre o rio,2004-01-01,,ILHABELA
QUEM02300,Ribeirão do Moquem,"Em Sta. Cruz da Conceição, a montante da Represa Euclides Moreli.",2003-01-01,2010-06-03,SANTA CRUZ DA CONCEICAO
QUIL03030,Ribeirão Quilombo,Ponte da Estr. Mun. Joannine Caumo na divisa Campinas/ Sumaré. Cerca de 500m à jusante da ETE San Martin da SANASA.,2018-01-01,,CAMPINAS
QUIL03200,Ribeirão Quilombo,Ponte na estrada que liga a Via Anhanguera a Paulínia.,2002-01-01,,SUMARE
QUIL03500,Ribeirão Quilombo,Na passarela de pedestres em frente a Rua 2. `A montante da ETE Palmital de Nova Odessa.,2018-01-01,,SUMARE
QUIL03900,Ribeirão Quilombo,"Na foz no Rio Piracicaba. Na ETE de Americana, no bairro Carioba.",2002-01-01,,AMERICANA
RAIN00880,Represa do Rio Atibainha,"Em frente as obras de colocação da bomba para captação do volume morto, antes da Ensecadeira. Em frente ao muro da Estrada que liga Nazaré-Guarulhos.",2014-04-23,,NAZARE PAULISTA
RCAB00900,Reservatório do Cabuçu,Junto à barragem da captação do município de Guarulhos (SAEE).,1977-01-01,1978-12-12,GUARULHOS
RCOL02500,Ribeirão Colônia,"Ponte na rua Paulino Gotzfrits alt. num. 1, com acesso ao ponto pelo pelo lava-rápido). (B14 - Programa Manaciais).",2020-01-01,,SÃO PAULO
RECA02900,Ribeirão das Marrecas,Ponte na entrada da cidade na Rodovia Comandante João Ribeiro de Barros.,2015-01-01,,PANORAMA
REIM02800,Córrego Reimberg ou Cocaia,"Ponte na Av. Dona Belmira Marim, alt. N. 2800, no Bairro Cocaia.(B01-Programa Mananciais).",2020-01-01,,SÃO PAULO
REIS02900,Rio Canal Barreiros,Na ponte pênsil.,2001-01-01,,SÃO VICENTE
RGDE02030,Reservatório do Rio Grande,"1 Km depois da desembocadura do Rio Grande ou Jurubatuba, próximo a transposição da SABESP.",2015-01-01,,RIBEIRAO PIRES
RGDE02200,Reservatório do Rio Grande,"No Clube Prainha Tahiti Camping Náutica, na altura do Km 42 da rodovia SP-31.",1983-01-01,,RIBEIRAO PIRES
RGDE02900,Reservatório do Rio Grande,"Próximo à rodovia Anchieta, junto à captação da SABESP",1974-10-01,,SÃO BERNARDO DO CAMPO
